iso2,variable,year,country,value,type
CY,LStK,1999,Zypern,77.5175095901974,Gesamtwirtschaft
CY,LStK,2000,Zypern,79.5123315097247,Gesamtwirtschaft
CY,LStK,2001,Zypern,80.7920642611337,Gesamtwirtschaft
CY,LStK,2002,Zypern,83.443426516231,Gesamtwirtschaft
CY,LStK,2003,Zypern,89.5102480394681,Gesamtwirtschaft
CY,LStK,2004,Zypern,90.8659204798345,Gesamtwirtschaft
CY,LStK,2005,Zypern,96.6037494631431,Gesamtwirtschaft
CY,LStK,2006,Zypern,98.1224957112407,Gesamtwirtschaft
CY,LStK,2007,Zypern,98.1572221924751,Gesamtwirtschaft
CY,LStK,2008,Zypern,100.758650414037,Gesamtwirtschaft
CY,LStK,2009,Zypern,108.579919745586,Gesamtwirtschaft
CY,LStK,2010,Zypern,108.037239969029,Gesamtwirtschaft
CY,LStK,2011,Zypern,110.329177527975,Gesamtwirtschaft
CY,LStK,2012,Zypern,112.114780541714,Gesamtwirtschaft
CY,LStK,2013,Zypern,107.324380979331,Gesamtwirtschaft
CY,LStK,2014,Zypern,103.192613378332,Gesamtwirtschaft
CY,LStK,2015,Zypern,100,Gesamtwirtschaft
CY,LStK,2016,Zypern,97.300105082237,Gesamtwirtschaft
CY,LStK,2017,Zypern,98.4853986439638,Gesamtwirtschaft
CY,LStK,2018,Zypern,99.6296550295345,Gesamtwirtschaft
CY,LStK,2019,Zypern,102.323541950146,Gesamtwirtschaft
CY,LStK,2020,Zypern,104.23522424049,Gesamtwirtschaft
CY,LStK,2021,Zypern,102.084531087329,Gesamtwirtschaft
CY,LStK,2022,Zypern,101.121630105539,Gesamtwirtschaft
CY,LStK,2023,Zypern,105.812388718296,Gesamtwirtschaft
CY,LStK,2024,Zypern,108.457698436253,Gesamtwirtschaft
CY,LStK,2025,Zypern,108.56615613469,Gesamtwirtschaft
CZ,BEG,1995,Tschechische Republik,25.7662895509079,Gesamtwirtschaft
CZ,BEG,1996,Tschechische Republik,30.3985146836706,Gesamtwirtschaft
CZ,BEG,1997,Tschechische Republik,32.2076946921871,Gesamtwirtschaft
CZ,BEG,1998,Tschechische Republik,34.8715951529829,Gesamtwirtschaft
CZ,BEG,1999,Tschechische Republik,36.2202519775393,Gesamtwirtschaft
CZ,BEG,2000,Tschechische Republik,40.4536097080851,Gesamtwirtschaft
CZ,BEG,2001,Tschechische Republik,45.8458983473868,Gesamtwirtschaft
CZ,BEG,2002,Tschechische Republik,54.6252128904207,Gesamtwirtschaft
CZ,BEG,2003,Tschechische Republik,56.9624010860212,Gesamtwirtschaft
CZ,BEG,2004,Tschechische Republik,61.4095889377181,Gesamtwirtschaft
CZ,BEG,2005,Tschechische Republik,68.3090479464383,Gesamtwirtschaft
CZ,BEG,2006,Tschechische Republik,76.0430012330074,Gesamtwirtschaft
CZ,BEG,2007,Tschechische Republik,82.3994110046575,Gesamtwirtschaft
CZ,BEG,2008,Tschechische Republik,95.7334126409867,Gesamtwirtschaft
CZ,BEG,2009,Tschechische Republik,89.7605488435227,Gesamtwirtschaft
CZ,BEG,2010,Tschechische Republik,97.4746477682337,Gesamtwirtschaft
CZ,BEG,2011,Tschechische Republik,103.028085703599,Gesamtwirtschaft
CZ,BEG,2012,Tschechische Republik,102.403253439486,Gesamtwirtschaft
CZ,BEG,2013,Tschechische Republik,98.9963543638119,Gesamtwirtschaft
CZ,BEG,2014,Tschechische Republik,96.0333861523917,Gesamtwirtschaft
CZ,BEG,2015,Tschechische Republik,100,Gesamtwirtschaft
CZ,BEG,2016,Tschechische Republik,105.892277550871,Gesamtwirtschaft
CZ,BEG,2017,Tschechische Republik,116.761865647794,Gesamtwirtschaft
CZ,BEG,2018,Tschechische Republik,129.771275214042,Gesamtwirtschaft
CZ,BEG,2019,Tschechische Republik,139.65536695096,Gesamtwirtschaft
CZ,BEG,2020,Tschechische Republik,140.963511681005,Gesamtwirtschaft
CZ,BEG,2021,Tschechische Republik,154.40719571478,Gesamtwirtschaft
CZ,BEG,2022,Tschechische Republik,172.244969416994,Gesamtwirtschaft
CZ,BEG,2023,Tschechische Republik,188.101162149232,Gesamtwirtschaft
CZ,BEG,2024,Tschechische Republik,201.832546986126,Gesamtwirtschaft
CZ,BEG,2025,Tschechische Republik,215.758992728169,Gesamtwirtschaft
